ChuyenMuc,TieuDe,MoTa,ThoiGian,DuongDan,HinhAnh
Phap Luat,Chiến thuật đánh lừa ở dự án 'ma' EcoHome tại TP HCM,"Vợ chồng Mai Thái An, 42 tuổi, ""vẽ"" nhà riêng thành dự án EcoHome, quảng cáo rầm rộ, dẫn khách ký hợp đồng thuê 50 năm, trấn an công chứng giả để chiếm đoạt tiền nhiều người.",1h trước,https://vnexpress.net/chien-thuat-danh-lua-o-du-an-ma-ecohome-tai-tp-hcm-4984044.html,https://i1-vnexpress.vnecdn.net/2025/11/23/anhtopluadao-1763885842-3279-1763885943.jpg?w=680&h=408&q=100&dpr=1&fit=crop&s=GVXVPp4Lb6WX4fVFnFIkGw
Phap Luat,Mất tiền tỷ vì đánh đề theo 'thông tin nội bộ của công ty xổ số',"Đà NẵngNgười đàn ông 51 tuổi được Phạm Phước Ân hai lần cho số đánh đề đều trúng, nhưng khi chuyển 1,4 tỷ đồng để tiếp tục ""lấy số nội bộ"" thì không thể liên lạc.",Mới cập nhật,https://vnexpress.net/mat-tien-ty-vi-danh-de-theo-thong-tin-noi-bo-cua-cong-ty-xo-so-4983951.html,https://i1-vnexpress.vnecdn.net/2025/11/23/98724db602368e68d727-176388315-7271-2531-1763883209.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=iTdUlDU4F2Fm9J5MzDE2Cg
Phap Luat,Tổng giám đốc địa ốc Phong Hải Thịnh bị bắt,"Đà NẵngÔng Đinh Văn Hùng, Tổng giám đốc Công ty Phong Hải Thịnh, bị cáo buộc chuyển nhượng 8 lô đất chưa đủ điều kiện pháp lý, chiếm đoạt gần 7 tỷ đồng của nạn nhân.",Mới cập nhật,https://vnexpress.net/tong-giam-doc-dia-oc-phong-hai-thinh-bi-bat-4983829.html,https://i1-vnexpress.vnecdn.net/2025/11/23/anh-1763881564-1763881597-3665-1763881617.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=h1HQrFDgS_0CD7KVV_cmCg
Phap Luat,Vợ chồng bị khởi tố vì cố tình bán thịt lợn bệnh cho người dân,Hưng YênVợ chồng ông Lê Duy Hưng bị cáo buộc biết đàn lợn của mình bị nhiễm bệnh Dịch tả lợn châu Phi nhưng vẫn giết mổ bán cho nhiều đầu mối.,Mới cập nhật,https://vnexpress.net/vo-chong-bi-khoi-to-vi-co-tinh-ban-thit-lon-benh-cho-nguoi-dan-4983214.html,https://i1-vnexpress.vnecdn.net/2025/11/23/nh1cquytnhkhitbcanLDuyDng-1763-2897-5028-1763874157.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=YgEUvmm6C8fRMqIMMd-2cQ
Phap Luat,"Kim Soo-hyun bị kiện 2,1 triệu USD vì bê bối đời tư ảnh hưởng nhãn hàng","Hàn QuốcThương hiệu mỹ phẩm cáo buộc Kim Soo-hyun vi phạm hợp đồng vì bê bối tình ái với trẻ vị thành niên, khiến họ thiệt hại nặng nề, song phía nam tài tử phủ nhận.",Mới cập nhật,https://vnexpress.net/kim-soo-hyun-bi-kien-2-1-trieu-usd-vi-be-boi-doi-tu-anh-huong-nhan-hang-4982774.html,https://i1-vnexpress.vnecdn.net/2025/11/23/gettyimages-2207752558-1763870-5729-4848-1763871811.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=OVTaHwDvyAhEti4qyEx-RQ
Phap Luat,Phân biệt phụ lục hợp đồng và hợp đồng sửa đổi hợp đồng,"Tôi muốn biết sự khác nhau giữa các loại văn bản thường xuất hiện trong quá trình giao kết như: “hợp đồng phụ”, “phụ lục hợp đồng” và “hợp đồng sửa đổi, bổ sung hợp đồng”.",Mới cập nhật,https://vnexpress.net/phan-biet-phu-luc-hop-dong-va-hop-dong-sua-doi-hop-dong-4982708.html,https://i1-vnexpress.vnecdn.net/2025/11/23/geminigeneratedimage69hhyc69hh-5142-6672-1763869206.png?w=240&h=144&q=100&dpr=1&fit=crop&s=6_3eV_V2okJgeBsnoLsnoQ
Phap Luat,Thẩm phán Mỹ giam hai bé trai vì không chịu thăm cha,"Khi hai bé trai nhất quyết cuối tuần không về ở với cha theo phân chia sau ly hôn của cha mẹ, thẩm phán Timothy Grendell đã giải quyết theo cách cực đoan.",Mới cập nhật,https://vnexpress.net/tham-phan-my-giam-hai-be-trai-vi-khong-chiu-tham-cha-4976224.html,https://i1-vnexpress.vnecdn.net/2025/11/22/a-nh-ma-n-hi-nh-2025-11-22-lu-7365-7357-1763812600.png?w=240&h=144&q=100&dpr=1&fit=crop&s=Llwz1h30RS8jo3nujxsqKQ
Phap Luat,Bệnh viện bị kiện vì 'vứt nhầm' não bệnh nhân hiến tặng,"MỹMô não của một bệnh nhân gặp chứng hiếm gặp đã được hiến tặng bệnh viện cho mục đích nghiên cứu, song bị nhân viên vứt nhầm.",Mới cập nhật,https://vnexpress.net/benh-vien-bi-kien-vi-vut-nham-nao-benh-nhan-hien-tang-4976044.html,https://i1-vnexpress.vnecdn.net/2025/11/22/geminigeneratedimageknpld6knpl-5285-1580-1763809733.png?w=240&h=144&q=100&dpr=1&fit=crop&s=D3ReR6AJTTIKMT7BAsLRDg
Phap Luat,Cựu cục phó an toàn thực phẩm và 13 người bị khởi tố,Nguyên Cục phó An toàn thực phẩm Bộ Y tế Đỗ Hữu Tuấn và 13 người bị khởi tố với cáo buộc Nhận hối lộ.,Mới cập nhật,https://vnexpress.net/cuu-cuc-pho-an-toan-thuc-pham-va-13-nguoi-bi-khoi-to-4975634.html,https://i1-vnexpress.vnecdn.net/2025/11/22/tua-n-1763803538-1763803580-17-7974-9488-1763803649.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=ZKKNVEZK1qgnGfSEo3VXUw
Phap Luat,Sát hại bác dâu,"An GiangCãi nhau với bác dâu 69 tuổi, Võ Văn Phút, 30 tuổi, đạp liên tiếp vào người bà khiến tử vong.",Mới cập nhật,https://vnexpress.net/sat-hai-bac-dau-4975060.html,https://i1-vnexpress.vnecdn.net/2025/11/22/phut-1-1763795174-1763795213-3537-1763795216.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=xxfTm4P83WEjx9949oZsWQ
