ChuyenMuc,TieuDe,MoTa,ThoiGian,DuongDan,HinhAnh
Thoi Su,Ôtô biến dạng sau tai nạn liên hoàn trên vành đai 3,"Hà NộiSau cú tông trực diện từ xe tải, ôtô 5 chỗ biến dạng, hai người trong xe bị thương, một số xe khác cũng bị ảnh hưởng bởi tai nạn.",6' trước,https://vnexpress.net/oto-bien-dang-sau-tai-nan-lien-hoan-tren-vanh-dai-3-4982205.html,https://i1-vnexpress.vnecdn.net/2025/11/23/964ca610ecfd4809aaa0def3b8433d-4434-8760-1763855201.jpg?w=680&h=408&q=100&dpr=1&fit=crop&s=CaA7wzK2ljdu85FlM-CQPw
Thoi Su,Người dân TP HCM mang nhu yếu phẩm hỗ trợ miền Trung,"Các điểm tiếp nhận hàng cứu trợ ở nhà ga metro, trụ sở chính quyền, khu chung cư đông đúc người dân mang đồ tới ủng hộ miền Trung.",Mới cập nhật,https://vnexpress.net/nguoi-dan-tp-hcm-mang-nhu-yeu-pham-ho-tro-mien-trung-4977050.html,https://i1-vnexpress.vnecdn.net/2025/11/23/233a8984-1763817540-1763823205-1763856839.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=PmaiTabn5MoG3bEjUe6Ovw
Thoi Su,Lâm Đồng yêu cầu loạt thủy điện xả nước phòng lũ,"Trước dự báo mưa bão những ngày tới, trong khi các hồ đã đầy, Lâm Đồng yêu cầu các nhà máy thủy điện trên sông Đồng Nai xả nước tạo dung tích phòng lũ.",Mới cập nhật,https://vnexpress.net/thuy-dien-lam-dong-xa-lu-4978400.html,https://i1-vnexpress.vnecdn.net/2025/11/22/ho-dai-ninh-1763820560-1763820-2236-8950-1763820743.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=-ejcSL57r5z3s25Ym-z90A
Thoi Su,Hàng loạt nhà đổ nát ở rốn lũ Đăk Lăk,"Nhiều căn nhà cấp 4 ở xã Hòa Thịnh sập tường, mái ngói, vật dụng sinh hoạt, tài sản bị lũ cuốn trôi sau trận lũ lịch sử.",Mới cập nhật,https://vnexpress.net/hang-loat-nha-do-nat-o-ron-lu-dak-lak-4975624.html,https://i1-vnexpress.vnecdn.net/2025/11/23/hoa-thinh-dl-1763853727-1763853740.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Vufvl-t0wOk-90KGY1UQoA
Thoi Su,"Cua nặng hơn 1,8 kg xác lập kỷ lục Việt Nam","Con cua nặng hơn 1,8 kg đoạt giải nhất cuộc thi xác lập kỷ lục cua Cà Mau, tối 22/11.",Mới cập nhật,https://vnexpress.net/cua-nang-hon-1-8-kg-xac-lap-ky-luc-viet-nam-4976220.html,https://i1-vnexpress.vnecdn.net/2025/11/22/80cc3a8ef1097d572418-176382027-8312-2373-1763820706.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=CIKOfldhPnvB81sE40rlhw
Thoi Su,Tìm thấy tài xế xe đầu kéo bị lũ cuốn ở Quảng Trị,"Thi thể ông Nguyễn Văn Thành, tài xế chiếc xe đầu kéo bị nước lũ cuốn trôi trên quốc lộ 15D sáu ngày trước, được tìm thấy chiều 22/11 trên hồ thủy điện Đakrông 3.",Mới cập nhật,https://vnexpress.net/tim-thay-tai-xe-xe-dau-keo-bi-lu-cuon-o-quang-tri-4977030.html,https://i1-vnexpress.vnecdn.net/2025/11/22/a-1763814581-8526-1763814583.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=nSii0wxYf9ukB5Dt3md5cg
Thoi Su,Tổng lực cứu trợ người dân vùng lũ,"Chính phủ hỗ trợ khẩn cấp 700 tỷ đồng, nhiều tỉnh, thành cũng đồng loạt triển khai các chương trình ủng hộ người dân bị thiệt hại do mưa lũ ở miền Trung, Tây Nguyên.",Mới cập nhật,https://vnexpress.net/tong-luc-cuu-tro-nguoi-dan-vung-lu-4975504.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z7251301543523-f9afce1afab8e77-3720-6885-1763815049.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=0_cqljwneNpcCjD_RqvfbA
Thoi Su,"72 người chết do mưa lũ, Đăk Lăk còn 4 xã, phường ngập nặng","Số người chết do mưa lũ ở 6 tỉnh tiếp tục tăng; riêng Đăk Lăk thêm 13 người, lên 44, khi nhiều khu vực ngập sâu được tiếp cận, còn bốn xã, phường vẫn ngập nặng.",Mới cập nhật,https://vnexpress.net/72-nguoi-chet-do-mua-lu-dak-lak-con-4-xa-phuong-ngap-nang-4976388.html,https://i1-vnexpress.vnecdn.net/2025/11/22/hoathinh-9-5610-1763811309-176-3988-4004-1763813482.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=8BMdE-SOU21zmgPUbxKV2g
Thoi Su,Thông tuyến quốc lộ 1 qua Đăk Lăk,"Gần một ngày đêm thi công sửa chữa, đoạn quốc lộ 1 phía Bắc hầm Đèo Cả qua tỉnh Đăk Lăk thông tuyến trở lại, giúp giảm ùn tắc trục huyết mạch về miền Trung.",Mới cập nhật,https://vnexpress.net/thong-tuyen-quoc-lo-1-qua-dak-lak-4975933.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z725067699632957dc8bd5c36cbdbf-3654-9768-1763806950.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=h3Dz7VQJ3jmLFkyaLEJB-A
Thoi Su,Bất lực khi người thân ở rốn lũ Hòa Thịnh bị nước vây hãm,"Đăk LăkCòi báo động thủy điện xả lũ hú liên hồi, nước ở Hòa Thịnh lên nhanh, mưa như trút, ông bà, cha mẹ chị Ngọc Huấn leo lên mái nhà, suốt đêm chờ cứu hộ.",Mới cập nhật,https://vnexpress.net/bat-luc-khi-nguoi-than-o-ron-lu-hoa-thinh-bi-nuoc-vay-ham-4975360.html,https://i1-vnexpress.vnecdn.net/2025/11/22/4494450970605458454-1763815601-1714-7426-1763815757.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=1aqoGWtAUxtHisqxkNVqcQ
Thoi Su,Đèo Khánh Lê nứt toác,"Khánh HòaBa điểm sạt lở trước chưa thể khắc phục, đèo Khánh Lê lại xuất hiện nhiều điểm hư hỏng mới, hàng trăm khối đất đá tràn xuống, đường nứt toác.",Mới cập nhật,https://vnexpress.net/deo-khanh-le-nut-toac-4975765.html,https://i1-vnexpress.vnecdn.net/2025/11/22/satlotiep1-1763804299-17638043-1628-1694-1763806279.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=4Ns4NLcMPeyASTvbOUPvdA
Thoi Su,"Phân bổ 80 tỷ đồng hỗ trợ Lâm Đồng, Khánh Hòa, Đăk Lăk, Gia Lai","Ban Vận động Cứu trợ Trung ương phân bổ 80 tỷ đồng hỗ trợ bốn tỉnh Lâm Đồng, Khánh Hòa, Đăk Lăk và Gia Lai khắc phục hậu quả mưa lũ, từ nguồn đóng góp của đồng bào cả nước.",Mới cập nhật,https://vnexpress.net/phan-bo-80-ty-dong-ho-tro-lam-dong-khanh-hoa-dak-lak-gia-lai-4975513.html,https://i1-vnexpress.vnecdn.net/2025/11/22/trao-ho-tro-jpeg-1763801291-7772-1763801360.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=kCu5UTYFCtQbp01TOCgPVg
Thoi Su,Đồng Nai đề nghị Lâm Đồng cung cấp thông tin thủy điện xả lũ,"Thủy điện ở thượng nguồn xả lũ song chính quyền địa phương vùng hạ du ở tỉnh không nhận được thông báo để phòng tránh, theo UBND Đồng Nai.",Mới cập nhật,https://vnexpress.net/dong-nai-de-nghi-lam-dong-cung-cap-thong-tin-thuy-dien-xa-lu-4974351.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z7245272383237-8cab841110ae083-6192-2071-1763798177.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=YTzZx6biUgjj9tE9sffnrw
Thoi Su,Dòng xe kẹt hàng chục km trên quốc lộ 1,"Mưa lũ khiến nhiều đoạn quốc lộ 1 qua Khánh Hòa, Đăk Lăk ngập và hư hỏng, giao thông tê liệt, khiến tài xế phải đứng bánh suốt 12 tiếng.",Mới cập nhật,https://vnexpress.net/dong-xe-ket-hang-chuc-km-tren-quoc-lo-1-4974480.html,https://i1-vnexpress.vnecdn.net/2025/11/22/PhuYen-10_1763794570-1763794909.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=OgnuXxiYLINoiuYyWFx8_w
Thoi Su,Tan hoang vùng rốn lũ Đăk Lăk,"Nhiều nhà dân ở xã Hòa Thịnh vẫn chìm trong nước và bùn đất, tỉnh lộ hư hỏng nặng, trong khi hàng quán ở phường Đông Hòa cũng tan hoang sau lũ.",Mới cập nhật,https://vnexpress.net/tan-hoang-vung-ron-lu-dak-lak-4974496.html,https://i1-vnexpress.vnecdn.net/2025/11/22/ketxe-12-1763791008.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=DVAqikxx78BtxiBKMCdGCQ
Thoi Su,Lao vào biển nước cứu người ở tâm lũ Đăk Lăk,"Đang cứu hộ ở Tuy Hòa, nhận tin xã Hòa Thịnh bị cô lập, nhóm Mân Côi vượt dòng nước xoáy tới giải cứu người mắc kẹt suốt 3 ngày, có người phải leo cây tránh trú.",Mới cập nhật,https://vnexpress.net/lao-vao-bien-nuoc-cuu-nguoi-o-tam-lu-dak-lak-4973837.html,https://i1-vnexpress.vnecdn.net/2025/11/22/0f0552d9-cbe4-45f1-813f-32e493-2904-8662-1763797405.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=21-4f4EIIQjtegp-Q5jHJQ
Thoi Su,Ùn tắc hàng chục km trên các quốc lộ qua miền Trung,"Trưa 22/11, quốc lộ 1, 27C, 20 và nhiều tuyến qua Đăk Lăk, Khánh Hòa, Lâm Đồng bị ngập sâu, sạt lở, khiến giao thông gián đoạn, xe ùn ứ kéo dài hàng chục km.",Mới cập nhật,https://vnexpress.net/un-tac-hang-chuc-km-tren-cac-quoc-lo-qua-mien-trung-4974540.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z725067696271701f5e06dfec27abc-4544-9814-1763788551.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=JBs2LN7EGwxxkfwBUmBnFw
Thoi Su,Nhân viên tàu hỏa xoay xở phục vụ khách mắc kẹt trong mưa lũ,"Mưa lũ khiến gần 10 đoàn tàu với hơn 2.000 khách mắc kẹt, nhân viên phải lội nước tìm lương thực, bơm nước sinh hoạt và trấn an hành khách trong nhiều ngày chờ đường thông trở lại.",Mới cập nhật,https://vnexpress.net/nhan-vien-tau-hoa-xoay-xo-phuc-vu-khach-mac-ket-trong-mua-lu-4973372.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z7240484810232-f8c0feb8e99db6d-7037-1339-1763788681.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=ydFR6Kv_tigalnvUq-ZfRg
Thoi Su,Hai trực thăng thả hàng cứu trợ cho vùng cô lập ở Đăk Lăk,"Hai trực thăng Mi-171 của Trung đoàn Không quân trực thăng 917 chở khoảng 5 tấn hàng cho người dân ở khu vực Đông Hòa, nơi bị lũ cô lập nặng ở Đă Lăk, chiều 22/11.",Mới cập nhật,https://vnexpress.net/hai-truc-thang-tha-hang-cuu-tro-cho-vung-co-lap-o-dak-lak-4974248.html,https://i1-vnexpress.vnecdn.net/2025/11/22/d5ee7fddb45938076148-176381004-9640-1322-1763810297.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=h5zcJHpP8b--rrNMbmkKqw
